code,description,month,year,value_uss,quantity_kg
030611,Lagostas congeladas,07,2014,12939168,381903
030611,Lagostas congeladas,07,2014,1530105,73140
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2014,2365106,415530
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2014,1314261,601171
030572,"Cabeças, caudas e bexigas natatórias, de peixes",07,2014,1448462,38091
030247,"Espadarte (Xiphias gladius), frescos ou refrigerados",07,2014,271696,50729
030289,"Outros peixes, exceto fígados, ovas e sêmen",07,2014,203966,44673
030259,"Outros peixes das famílias bregmacerotidae, gadidae, etc.",07,2014,174706,28351
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2014,95133,39240
030111,Peixes ornamentais de água doce,07,2014,2178835,6381
030617,"Outros camarões, congelados",07,2014,794508,56888
030571,Barbatanas de tubarão,07,2014,92483,2673
030339,"Outros peixes chatos, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",07,2014,29606,22500
030234,"Albacoras-bandolim (patudos), frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",07,2014,77582,8606
030382,"Raias (rajidae), congeladas",07,2014,261900,87300
030232,"Albacoras ou atuns-de-barbatanas-amarelas, frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",07,2014,43809,5364
030357,"Espadarte (Xiphias gladius), congelado",07,2014,50527,10031
030342,"Albacoras e atuns-de-barbatana-amarela, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",07,2014,76936,34429
030431,"Filés de tilápias (frescos, refrigerados ou congelados)",07,2014,28125,3405
030489,"Filés de outros peixes, congelados",07,2014,23386,1798
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2014,452568,93557
030239,"Outros atuns frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",07,2014,121367,16153
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2014,358000,214000
030489,"Filés de outros peixes, congelados",07,2014,117603,34974
030119,Outros peixes ornamentais vivos,07,2014,26716,172
030344,"Albacoras-bandolim (patudos), congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",07,2014,53034,13615
030461,"Filés de tilápias (Oreochromis spp.), congelados",07,2014,98560,11200
030449,"Filés de outros peixes, frescos ou refrigerados",07,2014,6251,627
030341,"Atuns-brancos ou germões, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",07,2014,39999,21052
030389,"Outros peixes, exceto fígados, ovas e sêmen",06,2014,1874458,315853
030611,Lagostas congeladas,06,2014,9028725,264646
030389,"Outros peixes, exceto fígados, ovas e sêmen",06,2014,787873,375154
030572,"Cabeças, caudas e bexigas natatórias, de peixes",06,2014,2104923,47084
030247,"Espadarte (Xiphias gladius), frescos ou refrigerados",06,2014,243817,40799
030289,"Outros peixes, exceto fígados, ovas e sêmen",06,2014,156889,34914
030611,Lagostas congeladas,06,2014,250200,12000
030389,"Outros peixes, exceto fígados, ovas e sêmen",06,2014,9240,7310
030342,"Albacoras e atuns-de-barbatana-amarela, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",06,2014,10370,2000
030617,"Outros camarões, congelados",06,2014,434508,31200
030259,"Outros peixes das famílias bregmacerotidae, gadidae, etc.",06,2014,150995,25528
030382,"Raias (rajidae), congeladas",06,2014,344900,114600
030111,Peixes ornamentais de água doce,06,2014,1636296,4764
030343,"Bonitos-listrados ou do-ventre-raiado, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",06,2014,765056,394924
030489,"Filés de outros peixes, congelados",06,2014,31605,2465
030234,"Albacoras-bandolim (patudos), frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",06,2014,65531,7563
030232,"Albacoras ou atuns-de-barbatanas-amarelas, frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",06,2014,98529,10343
030571,Barbatanas de tubarão,06,2014,123389,2662
030389,"Outros peixes, exceto fígados, ovas e sêmen",06,2014,366195,234110
030431,"Filés de tilápias (frescos, refrigerados ou congelados)",06,2014,18750,2270
030489,"Filés de outros peixes, congelados",06,2014,48436,5915
030357,"Espadarte (Xiphias gladius), congelado",06,2014,214329,41806
030389,"Outros peixes, exceto fígados, ovas e sêmen",06,2014,157938,27284
030614,Caranguejos congelados,06,2014,174652,31768
