code,description,month,year,value_uss,quantity_kg
030214,"Salmão-do-atlântico e salmão-do-danúbio, fresco ou refrigerado",07,2014,29079097,5158540
030353,"Sardinhas, congeladas",07,2014,1529562,1787504
030474,"Filés de merluzas e abroteas, congelados",07,2014,6326680,2018044
030462,"Filés de bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), congelado",07,2014,5619049,2695420
030481,"Filé de salmão-do-pacífico, do-danúbio, do-atlântico, congelados",07,2014,6381261,929544
030475,"Filé de merluza-do-alasca (Theragra chalcogramma), congelados",07,2014,1934707,844560
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",07,2014,3888961,950747
030562,"Bacalhaus salgados e em salmoura, não secos nem defumados",07,2014,674685,112500
030313,"Salmão-do-atlântico e salmão-do-danúbio, congelados",07,2014,1406029,290956
030381,Cação e outros tubarões,07,2014,1952039,619707
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",07,2014,216873,40000
030363,"Bacalhau-do-atlântico e bacalhau-do-pacífico, congelado",07,2014,1595872,215911
030489,"Filés de outros peixes, congelados",07,2014,5526988,2032675
030441,Filés de salmões-do-pacifico e salmão-do-danúbio,07,2014,1732196,188160
030381,Cação e outros tubarões,07,2014,2239850,1007448
030532,"Filés de peixes de famílias específicas, não defumado",07,2014,728560,100000
030499,"Carnes de outros peixes, exceto filés, mesmo picadas, congeladas",07,2014,137451,54766
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2014,2289515,708028
030551,"Bacalhaus secos, mesmo salgados, mas não defumados",07,2014,5158573,750159
030473,"Filé de saithe (Pollachius virens), congelado",07,2014,218395,56142
030471,"Filé de bacalhau-do-atlântico, da-groenlândia, do-pacífico, congelado",07,2014,1498797,305808
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2014,27360,11300
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2014,206124,136700
030541,"Salmões-do-pacífico, do-atlântico e do-danúbio, defumados, mesmo em filés",07,2014,256845,17274
030354,"Cavalinhas, congeladas",07,2014,385551,354033
030366,"Merluzas e abroteas (Merluccius, Urophycis), congeladas",07,2014,341636,190813
030312,"Outros salmões-do-pacífico, congelados",07,2014,513193,196628
030365,"Saithe (Pollachius virens), congelado",07,2014,25583,4480
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2014,36200,15000
030381,Cação e outros tubarões,07,2014,7200,12000
030495,"Peixes de famílias diversas, exceto a merluza-do-alasca",07,2014,150965,17000
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2014,29883,15000
030351,"Arenques (Clupea arengus, Clupea pallasii) congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",07,2014,29580,25000
030119,Outros peixes ornamentais vivos,07,2014,30650,963
030890,"Outros invertebrados aquáticos (exceto crustáceos e moluscos), secos, congelados, etc",07,2014,14865,482
030111,Peixes ornamentais de água doce,07,2014,4820,245
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2014,63348,30440
030214,"Salmão-do-atlântico e salmão-do-danúbio, fresco ou refrigerado",06,2014,30897218,5005654
030353,"Sardinhas, congeladas",06,2014,1957363,2198668
030462,"Filés de bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), congelado",06,2014,5530465,2662920
030474,"Filés de merluzas e abroteas, congelados",06,2014,7140972,2354325
030481,"Filé de salmão-do-pacífico, do-danúbio, do-atlântico, congelados",06,2014,6801864,1026942
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",06,2014,2114788,504500
030363,"Bacalhau-do-atlântico e bacalhau-do-pacífico, congelado",06,2014,3032429,398811
030381,Cação e outros tubarões,06,2014,2009837,620920
030562,"Bacalhaus salgados e em salmoura, não secos nem defumados",06,2014,963618,154000
030313,"Salmão-do-atlântico e salmão-do-danúbio, congelados",06,2014,1150004,226038
