year,month,taxa,species,production_kg
2014,1,Crustáceos,Camarão-barba-ruça,383217
2014,1,Crustáceos,Camarão-rosa,3305
2014,1,Crustáceos,Camarão-santana,11734
2014,1,Crustáceos,Camarão-santana + barba-ruca,35000
2014,1,Crustáceos,Pitú,270
2014,1,Crustáceos,Sapateira,60
2014,1,Elasmobrânquios,Cação-anequim,1059
2014,1,Elasmobrânquios,Cação-anjo,240
2014,1,Elasmobrânquios,Cação-azul,3860
2014,1,Elasmobrânquios,Cação-cabeca-chata,280
2014,1,Elasmobrânquios,Cação-martelo,905
2014,1,Elasmobrânquios,Cação-tigre,130
2014,1,Elasmobrânquios,Cações,1069
2014,1,Elasmobrânquios,Caçonete,1026
2014,1,Elasmobrânquios,Emplastro,25921
2014,1,Elasmobrânquios,Machote,1251
2014,1,Elasmobrânquios,Raia,635
2014,1,Moluscos,Calamar-argentino,1000
2014,1,Moluscos,Lula,30903
2014,1,Moluscos,Polvo,200
2014,1,Não Cadastrado,Mistura,20153
2014,1,Teleósteos,Abrótea,19825
2014,1,Teleósteos,Abrótea-de-fundo,104140
2014,1,Teleósteos,Albacora-branca,389
2014,1,Teleósteos,Albacora-lage,14920
2014,1,Teleósteos,Atum,16
2014,1,Teleósteos,Bagre,1720
2014,1,Teleósteos,Batata,400
2014,1,Teleósteos,Betara,4510
2014,1,Teleósteos,Bonito-cachorro,4383
2014,1,Teleósteos,Bonito-listrado,1165318
2014,1,Teleósteos,Cabra,50010
2014,1,Teleósteos,Cangoá,50
2014,1,Teleósteos,Castanha,57084
2014,1,Teleósteos,Cavala,20
2014,1,Teleósteos,Congro-rosa,3600
2014,1,Teleósteos,Corcoroca,10990
2014,1,Teleósteos,Corvina,530972
2014,1,Teleósteos,Dourado,5860
2014,1,Teleósteos,Enchova,1120
2014,1,Teleósteos,Enguia,180
2014,1,Teleósteos,Espada,19776
2014,1,Teleósteos,Ferrinho,600
2014,1,Teleósteos,Galo,1540
2014,1,Teleósteos,Galo-de-profundidade,2000
2014,1,Teleósteos,Goete,10380
2014,1,Teleósteos,Gordinho,4780
2014,1,Teleósteos,Guaivira,680
2014,1,Teleósteos,Lanceta,100
2014,1,Teleósteos,Linguado,26491
2014,1,Teleósteos,Linguado-areia,13894
2014,1,Teleósteos,Mangangá,560
2014,1,Teleósteos,Maria-mole,96680
2014,1,Teleósteos,Marimbá,680
2014,1,Teleósteos,Meca,12801
2014,1,Teleósteos,Merluza,58180
2014,1,Teleósteos,Miracéu,100
2014,1,Teleósteos,Olho-de-cão,620
2014,1,Teleósteos,Palombeta,186906
2014,1,Teleósteos,Pampo,530
2014,1,Teleósteos,Pargo-rosa,20
2014,1,Teleósteos,Paru,40
2014,1,Teleósteos,Peixe-porco,19120
2014,1,Teleósteos,Peixe-sapo,14680
2014,1,Teleósteos,Pescada,8164
2014,1,Teleósteos,Pescada-amarela,1750
2014,1,Teleósteos,Pescada-branca,520
2014,1,Teleósteos,Pescada-cambucu,140
2014,1,Teleósteos,Pescadinha-real,2760
2014,1,Teleósteos,Pijirica,20
2014,1,Teleósteos,Prego,278
2014,1,Teleósteos,Sardinha-lage,2251
2014,1,Teleósteos,Tira-vira,2880
2014,1,Teleósteos,Trilha,700
2014,2,Crustáceos,Camarão-barba-ruça,512111
2014,2,Crustáceos,Camarão-cristalino,18828
2014,2,Crustáceos,Camarão-rosa,22112
2014,2,Crustáceos,Camarão-santana,9062
2014,2,Crustáceos,Camarão-santana + barba-ruca,6000
2014,2,Crustáceos,Camarão-sete-barbas,800
2014,2,Crustáceos,Pitú,26895
2014,2,Crustáceos,Sapateira,2805
2014,2,Elasmobrânquios,Cação-anequim,888
2014,2,Elasmobrânquios,Cação-azul,10072
2014,2,Elasmobrânquios,Cação-bagre,800
2014,2,Elasmobrânquios,Cação-martelo,4629
2014,2,Elasmobrânquios,Cações,3260
2014,2,Elasmobrânquios,Caçonete,340
2014,2,Elasmobrânquios,Emplastro,58130
2014,2,Elasmobrânquios,Machote,341
2014,2,Elasmobrânquios,Raia,3807
2014,2,Elasmobrânquios,Ratinho,31
2014,2,Moluscos,Lula,102310
2014,2,Moluscos,Polvo,13900
2014,2,Não Cadastrado,Mistura,348234
2014,2,Não Cadastrado,Ovas,1300
2014,2,Teleósteos,Abrótea,70190
2014,2,Teleósteos,Abrótea-de-fundo,242800
2014,2,Teleósteos,Agulhão-azul,1625
2014,2,Teleósteos,Agulhão-branco,95
2014,2,Teleósteos,Albacora-bandolim,5056
2014,2,Teleósteos,Albacora-branca,22356
2014,2,Teleósteos,Albacora-lage,17123.5
2014,2,Teleósteos,Bagre,3361
2014,2,Teleósteos,Batata,473
2014,2,Teleósteos,Betara,2920
2014,2,Teleósteos,Bonito-cachorro,3537
2014,2,Teleósteos,Bonito-listrado,1130038.5
2014,2,Teleósteos,Cabra,144899
2014,2,Teleósteos,Carapeba,1760
2014,2,Teleósteos,Castanha,141100
2014,2,Teleósteos,Cavala,14
2014,2,Teleósteos,Cioba,580
2014,2,Teleósteos,Congro,0
2014,2,Teleósteos,Congro-rosa,17980
2014,2,Teleósteos,Corcoroca,2940
2014,2,Teleósteos,Corvina,1047011
2014,2,Teleósteos,Dourado,1657
2014,2,Teleósteos,Enchova,398
2014,2,Teleósteos,Enguia,200
2014,2,Teleósteos,Espada,3512
2014,2,Teleósteos,Ferrinho,500
2014,2,Teleósteos,Galo,28587
2014,2,Teleósteos,Goete,42728
2014,2,Teleósteos,Gordinho,11210
2014,2,Teleósteos,Guaivira,3445
2014,2,Teleósteos,Lanceta,0
2014,2,Teleósteos,Linguado,101349
2014,2,Teleósteos,Linguado-areia,52220
2014,2,Teleósteos,Mangangá,2490
2014,2,Teleósteos,Maria-luiza,40
2014,2,Teleósteos,Maria-mole,319480
2014,2,Teleósteos,Marimbá,6620
2014,2,Teleósteos,Meca,10085
2014,2,Teleósteos,Merluza,90340
2014,2,Teleósteos,Miracéu,780
2014,2,Teleósteos,Namorado,360
2014,2,Teleósteos,Olho-de-boi,0
2014,2,Teleósteos,Olho-de-cão,840
2014,2,Teleósteos,Oveva,200
2014,2,Teleósteos,Palombeta,276600
2014,2,Teleósteos,Pampo,1683
2014,2,Teleósteos,Pargo-rosa,548
2014,2,Teleósteos,Paru,218
2014,2,Teleósteos,Peixe-porco,51500
2014,2,Teleósteos,Peixe-sapo,25459
2014,2,Teleósteos,Peixe-tábua,0
2014,2,Teleósteos,Pescada,63667
2014,2,Teleósteos,Pescada-cambucu,120
2014,2,Teleósteos,Pescadinha-real,10140
2014,2,Teleósteos,Pijirica,42
2014,2,Teleósteos,Prego,1129
2014,2,Teleósteos,Robalo,73
2014,2,Teleósteos,Roncador,1680
2014,2,Teleósteos,Sardinha-lage,93
2014,2,Teleósteos,Sardinha-verdadeira,50090
2014,2,Teleósteos,Sarrão,180
2014,2,Teleósteos,Sororoca,20
2014,2,Teleósteos,Tira-vira,3800
2014,2,Teleósteos,Trilha,1505
2014,2,Teleósteos,Xarelete,10
2014,2,Teleósteos,Xaréu,64962
2014,3,Crustáceos,Camarão-branco,34384
2014,3,Crustáceos,Camarão-cristalino,53997
2014,3,Crustáceos,Pitú,25508
2014,3,Crustáceos,Sapateira,1570
2014,3,Elasmobrânquios,Cação-anequim,2150
2014,3,Elasmobrânquios,Cação-azul,48455
2014,3,Elasmobrânquios,Cação-bagre,20
2014,3,Elasmobrânquios,Cação-cabeca-chata,90
2014,3,Elasmobrânquios,Cação-gato,500
2014,3,Elasmobrânquios,Cação-lombo-preto,15
2014,3,Elasmobrânquios,Cação-martelo,2065
2014,3,Elasmobrânquios,Cações,10567
2014,3,Elasmobrânquios,Caçonete,2699
