#,year,month,taxa,species,production_kg,value_rs
1,2016,10,Crustáceo,Camarão-estuarino,293.67,7790.97
2,2016,10,Crustáceo,Camarão-legítimo,645.35,29833.9
3,2016,10,Crustáceo,Camarão-sete-barbas,10576.52,100966.92
4,2016,10,Crustáceo,Camarões-rosa,500,30000
5,2016,10,Crustáceo,Siri-azul,592.82,14379.23
6,2016,10,Crustáceo,Siris agrupados,301.76,5732.31
7,2016,10,Molusco,Lula,14,0
8,2016,10,Molusco,Mexilhão-do-mangue,115,1175
9,2016,10,Molusco,Ostra,2312.3,6171.05
10,2016,10,Peixe Cartilaginoso,Cação-rola-rola,6,72
11,2016,10,Peixe Cartilaginoso,Cações agrupados,224,4192
12,2016,10,Peixe Cartilaginoso,Cambeva,15,180
13,2016,10,Peixe Cartilaginoso,Raias agrupadas,78,216.25
14,2016,10,Peixe Cartilaginoso,Viola,103.8,1577.96
15,2016,10,Peixe Ósseo,Acará,2,0
16,2016,10,Peixe Ósseo,Atuns agrupados,10,74.6
17,2016,10,Peixe Ósseo,Bagre,3,22.65
18,2016,10,Peixe Ósseo,Bagre-amarelo,442.5,1934.2
19,2016,10,Peixe Ósseo,Bagre-branco,2721.2,17281.82
20,2016,10,Peixe Ósseo,Baiacú,309,3375.3
21,2016,10,Peixe Ósseo,Betara,1269,4397.8
22,2016,10,Peixe Ósseo,Bicuda,2.7,0
23,2016,10,Peixe Ósseo,Carapeba,79,254.7
24,2016,10,Peixe Ósseo,Caratinga,54.5,355.6
25,2016,10,Peixe Ósseo,Cascudo,130,1231.33
26,2016,10,Peixe Ósseo,Cavalas agrupadas,1123,11327.38
27,2016,10,Peixe Ósseo,Cioba,2,0
28,2016,10,Peixe Ósseo,Corvina,1483.8,12161.29
29,2016,10,Peixe Ósseo,Enchova,10,40
30,2016,10,Peixe Ósseo,Espada,75.2,441.04
31,2016,10,Peixe Ósseo,Galo,22,143
32,2016,10,Peixe Ósseo,Guaivira,643,2708.5
33,2016,10,Peixe Ósseo,Lambari,0.5,0
34,2016,10,Peixe Ósseo,Linguado,425.5,9072.65
35,2016,10,Peixe Ósseo,Linguado-areia,10,170
36,2016,10,Peixe Ósseo,Maria-luíza,181,1810
37,2016,10,Peixe Ósseo,Miraguaia,187,2022.08
38,2016,10,Peixe Ósseo,Mistura,2029.5,4601.7
39,2016,10,Peixe Ósseo,Nhacunda,0.5,0
40,2016,10,Peixe Ósseo,Oveva,2,1
41,2016,10,Peixe Ósseo,Pampo,67,371.5
42,2016,10,Peixe Ósseo,Pararê,107,856
43,2016,10,Peixe Ósseo,Parati,1378.6,2927.81
44,2016,10,Peixe Ósseo,Parati-barbudo,2,0
45,2016,10,Peixe Ósseo,Pargo-rosa,18,180
46,2016,10,Peixe Ósseo,Paru,359,2057.93
47,2016,10,Peixe Ósseo,Pescada-amarela,929.2,9375.93
48,2016,10,Peixe Ósseo,Pescada-banana,37,0
49,2016,10,Peixe Ósseo,Pescada-branca,1029,11236.74
50,2016,10,Peixe Ósseo,Pescada-dentão,31,465
51,2016,10,Peixe Ósseo,Pescada-foguete,1679.7,10286
52,2016,10,Peixe Ósseo,Pescadas agrupadas,285.8,2776.1
53,2016,10,Peixe Ósseo,Porco-chinelo,10,0
54,2016,10,Peixe Ósseo,Prejereba,89.3,2465.4
55,2016,10,Peixe Ósseo,Robalo,67.35,939.75
56,2016,10,Peixe Ósseo,Robalo-flecha,77.5,1589.38
57,2016,10,Peixe Ósseo,Robalo-peva,576.58,9403.39
58,2016,10,Peixe Ósseo,Saguá,30,201.9
59,2016,10,Peixe Ósseo,Sardinha-bandeira,2000,0
60,2016,10,Peixe Ósseo,Sardinha-cascuda,10,0
