species,year,month,price_rs,production_kg,value_rs
Abrótea,2016,1,5.05,41035,207227
Abrótea,2016,2,4.71,49100,231261
Abrótea,2016,3,4.93,57540,283672
Abrótea,2016,4,4.37,90538,395651
Abrótea,2016,5,4.33,33248,143964
Abrótea,2016,6,4.33,49220,213123
Abrótea,2016,7,2.96,71381,211288
Abrótea,2016,8,3.41,64014,218288
Abrótea,2016,9,3.93,42846,168385
Abrótea,2016,10,5.05,24738,124927
Abrótea,2016,11,4.72,48850,230572
Abrótea,2016,12,4.12,32790,135095
Abrótea,2017,1,5.03,61528,309486
Abrótea,2017,2,4.33,48580,210351
Abrótea,2017,3,4.3,90370,388591
Abrótea,2017,4,5.56,63181,351286
Abrótea,2017,5,4.73,54710,258778
Abrótea,2017,6,5.11,55161,281873
Abrótea,2017,7,3.98,95547,380277
Abrótea,2017,8,3.74,886666,3316131
Abrótea,2017,9,4.01,62050,248821
Abrótea,2017,10,4.23,58460,247286
Abrótea,2017,11,4.65,46019,213988
Abrótea,2017,12,4.3,43213,185816
Anchovas,2016,1,8.67,39560,342985
Anchovas,2016,2,9.49,38960,369730
Anchovas,2016,3,11.13,66096,735648
Anchovas,2016,4,11.4,54032,615965
Anchovas,2016,5,10.24,39583,405330
Anchovas,2016,6,5.87,83872,492329
Anchovas,2016,7,4.59,85804,393840
Anchovas,2016,8,6.26,53969,337846
Anchovas,2016,9,5.67,47726,270606
Anchovas,2016,10,8.22,22159,182147
Anchovas,2016,11,6.34,65183,413260
Anchovas,2016,12,6.59,21258,140090
Anchovas,2017,1,8.98,29558,265431
Anchovas,2017,2,10.33,13195,136304
Anchovas,2017,3,12.04,12413,149453
Anchovas,2017,4,12.36,58865,727571
Anchovas,2017,5,8.95,66875,598531
Anchovas,2017,6,7.28,34424,250607
Anchovas,2017,7,5.78,64662,373746
Anchovas,2017,8,8.47,84248,713581
Anchovas,2017,9,9.17,33262,305013
Anchovas,2017,10,9.26,45233,418858
Anchovas,2017,11,7.46,34760,259310
Anchovas,2017,12,6.82,37980,259024
Atum,2016,1,13.52,67944,918603
Atum,2016,2,14.3,87864,1256455
Atum,2016,3,24,121633,2919192
Atum,2016,4,15.85,90710,1437754
Atum,2016,5,15.85,69727,1105173
Atum,2016,6,14.6,86582,1264097
Atum,2016,7,17.07,112388,1918463
Atum,2016,8,12.48,91922,1147187
Atum,2016,9,13.19,110060,1451691
Atum,2016,10,9.87,93712,924937
Atum,2016,11,12.09,110632,1337541
Atum,2016,12,15.5,120350,1865425
Atum,2017,1,13.26,69603,922936
Atum,2017,2,14.92,90195,1345709
Atum,2017,3,11.55,122077,1409989
Atum,2017,4,16.39,64819,1062383
Atum,2017,5,16.14,84718,1367349
Atum,2017,6,14.3,93601,1338494
Atum,2017,7,15.89,78845,1252847
Atum,2017,8,14.02,95963,1345401
Atum,2017,9,15.82,76805,1215055
Atum,2017,10,12.84,87770,1126967
Atum,2017,11,12.04,91094,1096772
Atum,2017,12,13.39,96292,1289350
Badejo,2016,1,23,124,2852
Badejo,2016,2,23,1028,23644
Badejo,2016,3,23,611,14053
Badejo,2016,4,23,1030,23690
Badejo,2016,5,23,1757,40411
Badejo,2016,6,23.07,768,17718
Badejo,2016,7,20.17,651,13131
Badejo,2016,8,20.17,622,12546
Badejo,2016,9,20.17,107,2158
Badejo,2016,10,20.17,50,1009
Badejo,2016,11,20.17,100,2017
Badejo,2016,12,25.75,1127,29020
Badejo,2017,1,23,243,5589
Badejo,2017,2,23,712,16376
Badejo,2017,3,23,402,9246
Badejo,2017,4,23,78,1794
Badejo,2017,5,23,338,7774
Badejo,2017,6,23.07,460,10612
Badejo,2017,7,20.17,867,17487
Badejo,2017,8,20.17,237,4780
Badejo,2017,9,20.17,480,9682
Badejo,2017,10,20.17,562,11336
Badejo,2017,12,17.67,100,1767
Betara,2016,1,2.02,18690,37754
Betara,2016,2,2.32,18715,43419
Betara,2016,3,3.21,8220,26386
Betara,2016,4,2.42,8440,20425
Betara,2016,5,2.33,5440,12675
Betara,2016,6,2.32,10860,25195
Betara,2016,7,2.13,18770,39980
Betara,2016,8,2.27,19418,44079
Betara,2016,9,2.53,18891,47794
Betara,2016,10,2.78,18850,52403
Betara,2016,11,2.8,27190,76132
Betara,2016,12,2.34,16530,38680
Betara,2017,1,2.39,9835,23506
Betara,2017,2,2.63,8300,21829
Betara,2017,3,2.89,11560,33408
Betara,2017,4,3.66,2160,7906
Betara,2017,5,2.74,3470,9508
Betara,2017,6,2.76,16791,46343
Betara,2017,7,2.84,3990,11332
Betara,2017,8,2.67,6340,16928
Betara,2017,9,2.92,12763,37268
