year,month,taxa,species,production_kg,value_rs
2014,1,Crustáceo,Camarão-cristalino,1096,8768
2014,1,Crustáceo,Camarão-estuarino,2827.08,49786.92
2014,1,Crustáceo,Camarão-ferrinho,2800,0
2014,1,Crustáceo,Camarão-legítimo,1452,44457.85
2014,1,Crustáceo,Camarão-rosa,20865.7,801232.02
2014,1,Crustáceo,Camarão-santana,303,3360
2014,1,Crustáceo,Camarão-sete-barbas,78628.57,702966.42
2014,1,Crustáceo,Caranguejo-uçá,13142.25,98635.5
2014,1,Crustáceo,Lagosta,114.9,5347.77
2014,1,Crustáceo,Lagostim,1802,21824
2014,1,Crustáceo,Lagostim-de-iguape,0.4,0
2014,1,Crustáceo,Pitú-de-iguape,718.69,19003.81
2014,1,Crustáceo,Sapateira,81,1690
2014,1,Crustáceo,Siri-azul,5310.2,52509.29
2014,1,Crustáceo,Siri-candeia,200.5,399.5
2014,1,Crustáceo,Siris agrupados,280.54,1085.28
2014,1,Molusco,Berbigão,90,500
2014,1,Molusco,Lula,31358.1,421483.29
2014,1,Molusco,Mexilhão,5440.3,51294.25
2014,1,Molusco,Mexilhão-do-mangue,60.5,332.88
2014,1,Molusco,Ostra,406.76,1321.97
2014,1,Molusco,Polvo,27666.6,406765.13
2014,1,Molusco,Saquaritá,15,37.5
2014,1,Peixe Cartilaginoso,Anequim,462,3700
2014,1,Peixe Cartilaginoso,Cação-anjo,22.82,80.38
2014,1,Peixe Cartilaginoso,Cação-azul,216.5,2449.25
2014,1,Peixe Cartilaginoso,Cação-galha-preta,114.1,1143.8
2014,1,Peixe Cartilaginoso,Cação-rola-rola,509.24,4005.33
2014,1,Peixe Cartilaginoso,Cações agrupados,11692.9,93113.29
2014,1,Peixe Cartilaginoso,Cambeva,757.5,3664.75
2014,1,Peixe Cartilaginoso,Machote,178,2061.38
2014,1,Peixe Cartilaginoso,Mestiço,4,30
2014,1,Peixe Cartilaginoso,Raia-emplastro,2677,2485.1
2014,1,Peixe Cartilaginoso,Raia-emplastro-castelnaui,15,15
2014,1,Peixe Cartilaginoso,Raias agrupadas,1662.7,2977.06
2014,1,Peixe Cartilaginoso,Tintureira,36.73,183.65
2014,1,Peixe Cartilaginoso,Viola,142.44,1552.55
2014,1,Peixe Ósseo,Abrótea,7901.5,18830.53
2014,1,Peixe Ósseo,Agulha,131,203.35
2014,1,Peixe Ósseo,Atuns agrupados,10,60
2014,1,Peixe Ósseo,Badejo,51,688
2014,1,Peixe Ósseo,Badejo-mira,31.5,140.75
2014,1,Peixe Ósseo,Bagre,271.4,677.73
2014,1,Peixe Ósseo,Bagre-africano,3.5,0
2014,1,Peixe Ósseo,Bagre-amarelo,698.8,1538.3
2014,1,Peixe Ósseo,Bagre-branco,4979.5,13303.77
2014,1,Peixe Ósseo,Baiacú,17.5,48.13
2014,1,Peixe Ósseo,Batata,1828,10242
2014,1,Peixe Ósseo,Betara,39788.99,103283.83
2014,1,Peixe Ósseo,Bicuda,1217.81,7317.55
2014,1,Peixe Ósseo,Bonito-cachorra,1268,2084
2014,1,Peixe Ósseo,Bonito-pintado,586,1371.15
2014,1,Peixe Ósseo,Bonitos agrupados,1252.7,2703.43
2014,1,Peixe Ósseo,Budião,120.8,1268.4
2014,1,Peixe Ósseo,Cabrinha,9039,12400.83
2014,1,Peixe Ósseo,Caranha,64.5,1010.8
2014,1,Peixe Ósseo,Carapau,13954.3,112481.98
2014,1,Peixe Ósseo,Carapeba,597,2017.08
2014,1,Peixe Ósseo,Caraputanga,187.5,753
2014,1,Peixe Ósseo,Caratinga,1194,5008.13
2014,1,Peixe Ósseo,Castanha,2436,5289.75
2014,1,Peixe Ósseo,Cavala,946.6,11986.36
2014,1,Peixe Ósseo,Cavalinha,78,156
2014,1,Peixe Ósseo,Cavalinha-do-norte,49,245
2014,1,Peixe Ósseo,Chernes agrupados,277,6774
