species_portuguese,species_english,
Camarão-cristalino,shrimp,Shrimp
Camarão-estuarino,shrimp,Shrimp
Camarão-ferrinho,shrimp,Shrimp
Camarão-legítimo,shrimp,Shrimp
Camarão-rosa,shrimp,Shrimp
Camarão-santana,shrimp,Shrimp
Camarão-sete-barbas,shrimp,Shrimp
Caranguejo-uçá,crab,Crab
Lagosta,lobster,Lobster
Lagostim,crayfish,Crayfish
Lagostim-de-iguape,crayfish,Crayfish
Pitú-de-iguape,crayfish,Crayfish
Sapateira,crab,Crab
Siri-azul,crab,Crab
Siri-candeia,crab,Crab
Siris agrupados,crab,Crab
Berbigão,cockle,Cockle
Lula,squid,Squid
Mexilhão,mussel,Mussel
Mexilhão-do-mangue,mussel,Mussel
Ostra,oyster,Oyster
Polvo,octopus,Octopus
Saquaritá,bivalve,Bivalve
Anequim,Beaumaris shark,Beaumaris Shark
Cação-anjo,shark,Shark
Cação-azul,shark,Shark
Cação-galha-preta,shark,Shark
Cação-rola-rola,shark,Shark
Cações agrupados,shark,Shark
Cambeva,Bronze hammerhead shark,Bronze Hammerhead Shark
Machote,spinner shark,Spinner Shark
Mestiço,catfish,Catfish
Raia-emplastro,ray,Ray
Raia-emplastro-castelnaui,ray,Ray
Raias agrupadas,ray,Ray
Tintureira,tiger shark,Tiger Shark
Viola,guitarfish,Guitarfish
Abrótea,Brazilian codling,Brazilian Codling
Agulha,Garfish,Garfish
Atuns agrupados,tuna,Tuna
Badejo,grouper,Grouper
Badejo-mira,Comb grouper,Comb Grouper
Bagre,Couma sea catfish,Couma Sea Catfish
Bagre-africano,African catfish,African Catfish
Bagre-amarelo,Gillbacker sea catfish,Gillbacker Sea Catfish
Bagre-branco,Catfish,Catfish
Baiacú,#N/A,#N/A
Batata,Atlantic goldeneye tilefish,Atlantic Goldeneye Tilefish
Betara,Carolina whiting,Carolina Whiting
Bicuda,Atlantic sailfish,Atlantic Sailfish
Bonito-cachorra,#N/A,#N/A
Bonito-pintado,Atlantic black skipjack,Atlantic Black Skipjack
Bonitos agrupados,#N/A,#N/A
Budião,#N/A,#N/A
Cabrinha,East Atlantic red gurnard,East Atlantic Red Gurnard
Caranha,Dog snapper,Dog Snapper
Carapau,Jack mackerel,Jack Mackerel
Carapeba,Blinch,Blinch
Caraputanga,American red,American Red
Caratinga,#N/A,#N/A
Castanha,Argentine croaker,Argentine Croaker
Cavala,Barracuda,Barracuda
Cavalinha,American mackerel,American Mackerel
Cavalinha-do-norte,Caballa,Caballa
Chernes agrupados,#N/A,#N/A
Cioba,Dog snapper,Dog Snapper
Congro,Argentine conger,Argentine Conger
Congro-rosa,Australian rockling,Australian Rockling
Corvina,#N/A,#N/A
Dourado,Blue dolphin,Blue Dolphin
Enchova,Anchovy,Anchovy
Espada,Broadbill,Broadbill
Espadarte,Atlantic blue marlin,Atlantic Blue Marlin
Galo,American John Dory,American John Dory
Galo-de-penacho,Atlantic Moonfish,Atlantic Moonfish
Garoupa,Deady,Deady
Goete,Bangamary,Bangamary
Gordinho,Angelfish,Angelfish
Guaivira,Jack,Jack
Lagarto,#N/A,#N/A
Linguado,#N/A,#N/A
Linguado-areia,#N/A,#N/A
Mandi,#N/A,#N/A
Manjuba-chata,#N/A,#N/A
Manjuba-de-iguape,#N/A,#N/A
Manjubas agrupadas,#N/A,#N/A
Maria-luíza,#N/A,#N/A
Maria-mole,#N/A,#N/A
Marimbá,#N/A,#N/A
Merluza,#N/A,#N/A
Miracéu,#N/A,#N/A
Miraguaia,#N/A,#N/A
Mistura,#N/A,#N/A
Namorado,#N/A,#N/A
Nundiá,#N/A,#N/A
Olhete,#N/A,#N/A
Olho-de-boi,#N/A,#N/A
Olho-de-cão,#N/A,#N/A
Oveva,#N/A,#N/A
Palombeta,#N/A,#N/A
Pampo,#N/A,#N/A
Pampo-galhudo,#N/A,#N/A
Pararê,#N/A,#N/A
Parati,#N/A,#N/A
Pargo-rosa,#N/A,#N/A
Paru,#N/A,#N/A
Peixe-voador,#N/A,#N/A
Pescada-amarela,#N/A,#N/A
Pescada-banana,#N/A,#N/A
Pescada-branca,#N/A,#N/A
Pescada-cambucu,#N/A,#N/A
Pescada-dentão,#N/A,#N/A
Pescada-foguete,#N/A,#N/A
Pescadas agrupadas,#N/A,#N/A
Pirajica,#N/A,#N/A
Porco,#N/A,#N/A
Porco-chinelo,#N/A,#N/A
Porco-peludo,#N/A,#N/A
Prejereba,#N/A,#N/A
Robalo,#N/A,#N/A
Robalo-flecha,#N/A,#N/A
Robalo-peva,#N/A,#N/A
Roncador,#N/A,#N/A
Salema,#N/A,#N/A
Sapo,#N/A,#N/A
Sardinha-bandeira,#N/A,#N/A
Sardinha-verdadeira,#N/A,#N/A
Sargo,#N/A,#N/A
Sari-sari,#N/A,#N/A
Sarrão,#N/A,#N/A
Sororoca,#N/A,#N/A
Tainha,#N/A,#N/A
Tira-vira,#N/A,#N/A
Tortinha,#N/A,#N/A
Traíra,#N/A,#N/A
Trilha,#N/A,#N/A
Trombeta,#N/A,#N/A
Ubarana,#N/A,#N/A
Vermelho,#N/A,#N/A
Xarelete,#N/A,#N/A
Xaréu,#N/A,#N/A
Xaréu-branco,#N/A,#N/A
Xixarro,#N/A,#N/A
Cação-gato,#N/A,#N/A
Mangona,#N/A,#N/A
Raia-ticonha,#N/A,#N/A
Acará,#N/A,#N/A
Agulhão,#N/A,#N/A
Cascudo,Atlantic searobin,Atlantic Searobin
Corcoroca,Grey grunt,Grey Grunt
Curimbatá,#N/A,#N/A
Enchova-preta,Castor oil fish,Castor Oil Fish
Outras espécies,#N/A,#N/A
Parambiju,#N/A,#N/A
Peixe-prego,#N/A,#N/A
Piava,#N/A,#N/A
Sabão,#N/A,#N/A
Saguá,#N/A,#N/A
Savelha,#N/A,#N/A
Sernambiguara,#N/A,#N/A
Tilápia,#N/A,#N/A
Vento-leste,#N/A,#N/A
Pregoaí,#N/A,#N/A
Raia-manteiga,#N/A,#N/A
Agulhão-vela,#N/A,#N/A
Albacora-de-laje,Albacore,Albacore
Carpa,Aischgrund carp,Aischgrund Carp
Jaguareça,#N/A,#N/A
Micholes agrupados,#N/A,#N/A
Saguaru,#N/A,#N/A
Tarpão,#N/A,#N/A
Cação-cola-fina,#N/A,#N/A
Água-fria,#N/A,#N/A
Agulhão-vela platypterus,#N/A,#N/A
Bonito-serrinha,#N/A,#N/A
Canhanha,Brim,Brim
Coió,#N/A,#N/A
Parati-barbudo,#N/A,#N/A
Vermelho-henrique,#N/A,#N/A
Raia-jamanta,#N/A,#N/A
Cangoá,#N/A,#N/A
Cherne-verdadeiro,#N/A,#N/A
Congros e enguias,#N/A,#N/A
Agulhão-branco,#N/A,#N/A
Albacora-branca,A<e1>hi taria,A<E1>Hi Taria
Galo-sem-penacho,#N/A,#N/A
Manjubas,#N/A,#N/A
Concha,#N/A,#N/A
Carapicu,#N/A,#N/A
Almeja,#N/A,#N/A
Polvo-saquinho,#N/A,#N/A
Tamburutaca,#N/A,#N/A
Lula-branca,#N/A,#N/A
Cação-cabeça-chata,#N/A,#N/A
Amboré,#N/A,#N/A
Moréia,#N/A,#N/A
Bonito-gaiado,#N/A,#N/A
Pacu,#N/A,#N/A
Cação-lombo-preto,#N/A,#N/A
Peixes agrupados,#N/A,#N/A
Cação-azeiteiro,#N/A,#N/A
Manjuba-branca,#N/A,#N/A
Tuvira,#N/A,#N/A
Viramorro,#N/A,#N/A
Camarão-gigante-da-Malásia,#N/A,#N/A
Salmonete,#N/A,#N/A
Agulhão-negro,#N/A,#N/A
Castanha-riscada,Drum,Drum
Piraputanga,#N/A,#N/A
Tajibucu,#N/A,#N/A
Albacora-bandolim,Bonito,Bonito
